outcome,outcome_type,outcome_variant,batch,model_method,model_file,estimate_DST,estimate_NoDST,nodst_minus_dst,contrast_scope,is_weekend_factor,month
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.715173485470298,1.6571085643029937,-0.05806492116730433,by_month,NA,04
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.8291046204156436,1.7710396992483393,-0.05806492116730433,by_month,NA,05
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.723583821337482,1.6655189001701776,-0.05806492116730433,by_month,NA,06
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.718608531454635,1.660543610287331,-0.05806492116730411,by_month,NA,07
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.6804540561199746,1.62238913495267,-0.05806492116730455,by_month,NA,08
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.575391588076495,1.5173266669091905,-0.05806492116730455,by_month,NA,09
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.7545342864323568,1.6964693652650522,-0.05806492116730455,by_month,NA,10
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.6783683693746654,1.6203034482073608,-0.05806492116730455,by_month,NA,11
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.8462364473635768,1.7881715261962725,-0.05806492116730433,by_month,NA,12
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8893290409159704,1.9005128514192848,0.011183810503314406,by_month,NA,01
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.6321081295875466,1.643291940090861,0.011183810503314406,by_month,NA,02
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.643744331510376,1.6549281420136903,0.011183810503314406,by_month,NA,03
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8469122286136757,1.85809603911699,0.011183810503314406,by_month,NA,04
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.9082897514943495,1.919473561997664,0.011183810503314406,by_month,NA,05
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8601475044683795,1.871331314971694,0.011183810503314406,by_month,NA,06
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8948757677585228,1.9060595782618373,0.011183810503314406,by_month,NA,07
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8727692713170037,1.883953081820318,0.011183810503314406,by_month,NA,08
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.808134389643481,1.8193182001467951,0.011183810503314184,by_month,NA,09
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.9527318979545971,1.9639157084579115,0.011183810503314406,by_month,NA,10
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8599985404024035,1.871182350905718,0.011183810503314406,by_month,NA,11
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.9978200360969145,2.009003846600229,0.011183810503314406,by_month,NA,12
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.654672870371202,5.750606584250869,0.09593371387966698,by_month,NA,01
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.519595460272601,5.615529174152268,0.09593371387966698,by_month,NA,02
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.469598593520844,5.565532307400511,0.09593371387966698,by_month,NA,03
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.776096146449362,5.872029860329029,0.09593371387966698,by_month,NA,04
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.8159005769483985,5.911834290828065,0.09593371387966698,by_month,NA,05
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.820108905526337,5.916042619406004,0.09593371387966698,by_month,NA,06
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.820950496275177,5.916884210154844,0.09593371387966698,by_month,NA,07
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.827844354908691,5.923778068788358,0.09593371387966698,by_month,NA,08
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.891668869368303,5.98760258324797,0.09593371387966698,by_month,NA,09
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.944471576066594,6.040405289946261,0.09593371387966698,by_month,NA,10
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.790459901303347,5.886393615183014,0.09593371387966698,by_month,NA,11
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.883967181923863,5.97990089580353,0.09593371387966698,by_month,NA,12
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-1.9872961639822797,-2.095842913941734,-0.10854674995945435,by_month,NA,01
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.234496293954584,-2.3430430439140384,-0.10854674995945457,by_month,NA,02
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.208055616713651,-2.3166023666731057,-0.10854674995945457,by_month,NA,03
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0201792388202966,-2.128725988779751,-0.10854674995945457,by_month,NA,04
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-1.9286840182173557,-2.03723076817681,-0.10854674995945413,by_month,NA,05
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0102969239936908,-2.1188436739531453,-0.10854674995945457,by_month,NA,06
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.047105988412942,-2.1556527383723965,-0.10854674995945457,by_month,NA,07
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.096330008179703,-2.2048767581391577,-0.10854674995945457,by_month,NA,08
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.2684149767806496,-2.376961726740104,-0.10854674995945457,by_month,NA,09
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0672604128725234,-2.175807162831978,-0.10854674995945457,by_month,NA,10
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.046630840444654,-2.1551775904041084,-0.10854674995945457,by_month,NA,11
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-1.9007020509753416,-2.0092488009347957,-0.10854674995945413,by_month,NA,12
