outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,day_type
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,9.565638328779466,7.478040338608748,11.653236318950183,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,NA,9.339332994715011,7.255298953902191,11.423367035527836,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,9.559729236208558,7.472249028194723,11.647209444222392,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,NA,9.321764010047325,7.237773234810048,11.405754785284602,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,9.542160251540867,7.454723695210827,11.62959680787091,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,NA,9.336341014298394,7.239601826484845,11.433080202111944,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,9.56160691504392,7.461392955539187,11.661820874548654,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,NA,9.349319074483708,7.252424901401808,11.446213247565607,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,9.574584975229234,7.474211514708594,11.674958435749874,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,NA,9.369132743767125,7.272457497008532,11.465807990525718,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,9.594398644512651,7.494242092379053,11.694555196646249,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,NA,9.371061935185862,7.274406671157342,11.467717199214382,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,9.596327835931389,7.496197498787057,11.69645817307572,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,NA,9.36142471999632,7.264478020328853,11.458371419663788,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,9.586690620741846,7.486268381658368,11.687112859825325,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,NA,9.352772594945636,7.255505385793187,11.450039804098084,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,9.578038495691162,7.4772944638674605,11.678782527514864,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,NA,9.347708043991029,7.250538861790746,11.444877226191307,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,9.572973944736551,7.472332607209641,11.673615282263466,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,NA,9.363974610927675,7.26693750328276,11.46101171857259,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,9.589240511673202,7.488722899660438,11.689758123685966,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,NA,9.355255610126047,7.258526430993356,11.45198478925874,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,9.580521510871575,7.4803081351605165,11.680734886582634,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,NA,9.359585405885758,7.26304356308213,11.456127248689386,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,9.584851306631284,7.484836996564112,11.684865616698456,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,NA,9.359244135209002,7.262763450401342,11.455724820016664,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,9.584510035954528,7.484558130092483,11.684461941816572,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,NA,9.339212935808517,7.242778504501198,11.435647367115836,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,9.564478836554043,7.464573461156526,11.66438421195156,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,NA,2.6932721125427643,-0.5019384587308124,5.888482683816341,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,3.297033273498555,0.0988971628524702,6.495169384144639,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,NA,2.7095537138474364,-0.4860046615765725,5.905112089271445,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,3.313314874803227,0.1148275992744172,6.511802150332036,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,NA,2.7033966371221103,-0.4919243518263268,5.898717626070548,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,3.307157798077901,0.10890590449397576,6.505409691661826,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,NA,2.711283588933877,-0.48388799937055493,5.906455177238309,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,3.3150447498896676,0.11694771487674416,6.513141784902591,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,NA,2.7173402846487944,-0.4781984647790902,5.9128790340766795,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,3.321101445604585,0.12263685840991778,6.519566032799252,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,NA,2.737588306901664,-0.4583069955700614,5.933483609373389,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,3.3413494678574542,0.14252715463019694,6.5401717810847115,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,NA,2.728167512051891,-0.4674917407082515,5.923826764812034,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,3.3319286730076816,0.13334647651765463,6.530510869497709,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,NA,2.7325080381642497,-0.4628244595187878,5.927840535847287,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,3.33626919912004,0.1380063645218481,6.534532033718232,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,NA,2.7092530444025336,-0.4856091045805005,5.904115193385568,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,3.313014205358324,0.11521886312783636,6.510809547588812,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,NA,2.721308113825134,-0.4733273652415382,5.915943592891805,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,3.3250692747809243,0.12751027217271504,6.522628277389133,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,NA,2.7242635168797507,-0.4702492335975732,5.9187762673570745,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,3.328024677835541,0.13058840267889416,6.525460952992188,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,NA,2.685129065517937,-0.5094276755357758,5.879685806571651,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,3.2888902264737276,0.0914103984757837,6.486370054471672,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,NA,2.7458008222323276,-0.48077164302545095,5.972373287490106,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,3.3565656158362964,0.12705778624060216,6.586073445431991,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,NA,2.763888101244592,-0.46293293034728666,5.9907091328364706,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,3.374652894848561,0.14489270447409908,6.6044130852230225,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,NA,2.757530735897596,-0.4689542947745289,5.984015766569721,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,3.3682955295015646,0.13886963084834925,6.59772142815478,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,NA,2.7651230130506463,-0.4612949397360335,5.991540965837326,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,3.375887806654615,0.1465341739483339,6.6052414393608965,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,NA,2.7711180701525806,-0.4556977839632359,5.997933924268397,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,3.3818828637565495,0.152130891180279,6.61163483633282,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,NA,2.7908500068055657,-0.4363503126745649,6.018050326285696,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,3.4016148004095346,0.17147716848189054,6.631752432337178,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,NA,2.780700748741496,-0.4462712098843915,6.007672707367384,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,3.3914655423454647,0.16156011227801104,6.621370972412919,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,NA,2.785079223735182,-0.44159703155629026,6.011755479026654,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,3.395844017339151,0.16622720264318147,6.62546083203512,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,NA,2.760201604498078,-0.4660310160528307,5.986434225048987,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,3.370966398102047,0.14179016350697626,6.600142632697118,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,NA,2.767171635559018,-0.45883563163837016,5.993178902756407,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,3.377936429162987,0.14899547734517649,6.606877380980798,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,NA,2.7764269624086855,-0.4495221742337798,6.002376099051151,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,3.3871917560126543,0.15831002490776136,6.616073487117547,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,NA,2.733396971097972,-0.4925838691521527,5.959377811348097,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,3.344161764701941,0.11524866671394962,6.573074862689932,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,NA,7.178128966632945,3.47395481894298,10.88230311432291,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,7.917467761001125,4.209643260342846,11.625292261659403,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,NA,7.202697375470528,3.498121060414358,10.907273690526695,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,7.942036169838708,4.23380530672961,11.650267032947806,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,NA,7.197459667138626,3.493158560504614,10.901760773772638,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,7.936798461506806,4.228840302408512,11.6447566206051,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,NA,7.203503457789265,3.499371225359804,10.907635690218726,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,7.942842252157444,4.235059789829915,11.650624714484971,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,NA,7.199915744431858,3.4953516725409104,10.904479816322803,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,7.939254538800037,4.231039753595734,11.64746932400434,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,NA,7.223768911864531,3.5187792488155094,10.928758574913552,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,7.963107706232712,4.254465885541752,11.671749526923673,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,NA,7.219711484568427,3.514985736859056,10.924437232277796,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,7.959050278936607,4.250677459916886,11.667423097956329,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,NA,7.218168365197723,3.513810553011379,10.922526177384068,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,7.957507159565903,4.249493054722249,11.665521264409556,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,NA,7.18999390016357,3.4861842815599298,10.89380351876721,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,7.92933269453175,4.221863211590097,11.636802177473404,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,NA,7.220977789747834,3.5174380045222633,10.924517574973404,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,7.960316584116015,4.2531289988130645,11.667504169418963,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,NA,7.219671918643312,3.516280774408461,10.923063062878162,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,7.959010713011493,4.2519717598423306,11.666049666180657,Weekend
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,NA,7.164949892047456,3.461519926785819,10.868379857309094,Weekday
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,7.9042886864156365,4.197211444107858,11.611365928723416,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,NA,7.238589242196617,3.4915575194232433,10.98562096496999,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,7.9900996456988045,4.239409032068027,11.740790259329582,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,NA,7.263181641997131,3.5158625812522644,11.010500702741997,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,8.014692045499318,4.2637093563318595,11.765674734666778,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,NA,7.258845730736576,3.5119171055151592,11.005774355957993,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,8.010356134238766,4.259761751283483,11.760950517194049,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,NA,7.264621892106269,3.5177672108632088,11.011476573349327,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,8.016132295608458,4.265618333150846,11.766646258066068,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,NA,7.2611797743916275,3.5138573584783104,11.008502190304943,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,8.012690177893816,4.261707939768897,11.763672416018736,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,NA,7.284757945648631,3.536977658013579,11.032538233283685,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,8.03626834915082,4.28482676460202,11.78770993369962,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,NA,7.280124905469999,3.532601974175673,11.027647836764324,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,8.031635308972188,4.280455883471667,11.782814734472709,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,NA,7.279419371843005,3.5322304198344465,11.026608323851564,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,8.030929775345193,4.280075492554907,11.78178405813548,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,NA,7.24946197495621,3.502791274173459,10.99613267573896,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,8.0009723784584,4.250632531815395,11.751312225101405,Weekend
