outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,10.435080195855305,0.9479302573920236,19.922230134318585,Weekday,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,10.382448837374389,0.8912817499597061,19.87361592478907,Weekend,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,4.338602737952502,-3.008003878454609,11.685209354359612,Weekday,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,4.484816537639731,-2.8673253043227387,11.8369583796022,Weekend,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,5.561392711328552,2.2551091102758836,8.86767631238122,Weekday,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,5.614746757545493,2.287196847624124,8.942296667466863,Weekend,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,7.740539681905422,5.593648170683738,9.887431193127108,Weekday,Employed For Wages
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,7.903771213738764,5.7277087386817165,10.079833688795812,Weekend,Employed For Wages
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,10.985614627746632,7.938951033231168,14.032278222262097,Weekday,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,10.96805075085837,7.89975701209153,14.036344489625208,Weekend,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,0.21303054606552232,-12.98608663915446,13.412147731285504,Weekday,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,0.4396419566702148,-12.762603786212606,13.641887699553036,Weekend,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,10.789707799839826,0.919536256356544,20.65987934332311,Weekday,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,10.627579476626018,0.753901926793823,20.501257026458212,Weekend,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,8.629322178368131,6.58228715671522,10.67635720002104,Weekday,Retired
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,8.770454956895053,6.698472791062402,10.842437122727704,Weekend,Retired
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,10.855628461735645,1.2713025337520565,20.439954389719233,Weekday,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,10.821058877514592,1.232965748628143,20.409152006401044,Weekend,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,4.222737333463956,-3.1659070674259047,11.611381734353817,Weekday,Student
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,4.374747588283671,-3.0201690404601784,11.76966421702752,Weekend,Student
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,190.8939673022859,-363.7913801172248,745.5793147217965,Weekday,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,191.17632704822336,-363.6281264780448,745.9807805744915,Weekend,Unable To Work
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,2.9051876110313817,-0.24635075162780273,6.0567259736905665,Weekday,Employed For Wages
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,3.5019249489302817,0.3306121714586472,6.673237726401917,Weekend,Employed For Wages
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,3.570086025359082,-1.2451877787398955,8.385359829458059,Weekday,Homemaker
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,4.122243223060758,-0.7078681748962241,8.95235462101774,Weekend,Homemaker
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-14.471276594168536,-35.01038447871491,6.067831290377843,Weekday,Out Of Work Less Than One
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-13.790704176592344,-34.33229926443264,6.750890911247952,Weekend,Out Of Work Less Than One
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,9.785057672490124,-5.903469266568466,25.473584611548716,Weekday,Out Of Work One Or More
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,10.445784910643097,-5.243797097594083,26.135366918880273,Weekend,Out Of Work One Or More
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,5.277602367127135,2.024600284936771,8.530604449317499,Weekday,Retired
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,5.799370307696209,2.5292769612834785,9.069463654108938,Weekend,Retired
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,5.341849649959069,-9.804026985046132,20.487726284964268,Weekday,Self Employed
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,5.765850000463638,-9.38241054342256,20.91411054434984,Weekend,Self Employed
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,2.033989272840549,-9.793710476971857,13.861689022652952,Weekday,Student
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,2.863137359520954,-8.968607133275148,14.694881852317057,Weekend,Student
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,0.9410202209391246,-4.355527802193207,6.237568244071457,Weekday,Unable To Work
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,1.3356183422968966,-3.97760044490302,6.648837129496814,Weekend,Unable To Work
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,1.8469122286136757,-1.5341125879501685,5.227937045177519,Weekday,Employed For Wages
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,2.4693841957021294,-0.933907019247028,5.872675410651286,Weekend,Employed For Wages
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,3.5259522273008588,-1.2797198432226708,8.331624297824389,Weekday,Homemaker
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,4.10652628534527,-0.7156838957913436,8.928736466481883,Weekend,Homemaker
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-14.52780849578926,-35.48260189095136,6.4269848993728385,Weekday,Out Of Work Less Than One
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-13.816114584638116,-34.77360477635636,7.141375607080123,Weekend,Out Of Work Less Than One
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,9.829835803099828,-5.7357191563859296,25.395390762585585,Weekday,Out Of Work One Or More
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,10.516844007685112,-5.050845353684188,26.084533369054412,Weekend,Out Of Work One Or More
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,5.254717218314994,2.026923100192551,8.482511336437437,Weekday,Retired
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,5.805034958733992,2.5581549375301287,9.051914979937855,Weekend,Retired
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,5.574938168710061,-9.516934120921096,20.66681045834122,Weekday,Self Employed
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,6.02612458336658,-9.068156465048297,21.12040563178146,Weekend,Self Employed
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,1.8737470176872717,-9.858621285260991,13.606115320635537,Weekday,Student
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,2.72974338321641,-9.007308764817385,14.466795531250204,Weekend,Student
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,-27.82184860985249,-642.9614758327947,587.3177786130897,Weekday,Unable To Work
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,-27.52645044012704,-642.7919157974624,587.7390149172082,Weekend,Unable To Work
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,7.1432239704008,3.4506699316663085,10.835778009135293,Weekday,Employed For Wages
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,7.471494166152486,3.7543307597215154,11.188657572583455,Weekend,Employed For Wages
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,9.005203887285186,3.3629564538240926,14.647451320746278,Weekday,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,9.202119470060198,3.541403735135886,14.862835204984512,Weekend,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-13.934032533771395,-37.990331159829594,10.122266092286806,Weekday,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-13.53610141798998,-37.59545732409258,10.523254488112624,Weekend,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,13.85402423895937,-4.529804362996115,32.237852840914854,Weekday,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,14.164114545600942,-4.221118722953303,32.54934781415518,Weekend,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,9.712476858152998,5.900590462441567,13.52436325386443,Weekday,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,9.942959343174378,6.10981713552958,13.776101550819176,Weekend,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,11.689442914257016,-6.05904763809515,29.43793346660918,Weekday,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,11.871308700754977,-5.8802118859770935,29.622829287487047,Weekend,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,4.271718437153205,-9.58132618953169,18.124763063838103,Weekday,Student
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,4.850354048330387,-9.007725057416357,18.708433154077127,Weekend,Student
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,3.838459687031184,-2.3667907191077657,10.043710093170134,Weekday,Unable To Work
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,4.06428309343556,-2.1616074040113995,10.29017359088252,Weekend,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,5.776096146449362,1.8178129041882232,9.7343793887105,Weekday,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,6.1550954981183175,2.1690982216722836,10.14109277456435,Weekend,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,9.005311253511316,3.379988005288525,14.630634501734107,Weekday,Homemaker
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,9.268383343603544,3.622475597130821,14.914291090076269,Weekend,Homemaker
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-13.570590953310123,-38.089494205635944,10.948312299015695,Weekday,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-13.096952540782471,-37.619169441007706,11.425264359442762,Weekend,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,13.98017966533788,-4.241781005739675,32.20214033641543,Weekday,Out Of Work One Or More
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,14.326780423557397,-3.8979041025627144,32.55146494967751,Weekend,Out Of Work One Or More
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,9.685872963524512,5.907203363986731,13.464542563062295,Weekday,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,9.97098970315991,6.168565318663047,13.773414087656771,Weekend,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,12.125386778427975,-5.543311257843731,29.79408481469968,Weekday,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,12.350090196857185,-5.321657751465686,30.021838145180055,Weekend,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,4.053461087097676,-9.67444381112021,17.781365985315563,Weekday,Student
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,4.6695398863104325,-9.06420121371834,18.403280986339208,Weekend,Student
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,201.70446820339956,-540.1635279536666,943.5724643604656,Weekday,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,201.9664689403852,-540.053849385827,943.9867872665974,Weekend,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,-1.3107363917605708,-4.221445073779144,1.599972290258002,Weekday,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,-0.8296067074382758,-3.757472224250085,2.098258809373534,Weekend,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,-2.081345155764234,-6.528373286642113,2.365682975113644,Weekday,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,-1.6048058222695207,-6.064703899057706,2.8550922545186648,Weekend,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-13.98125428077212,-32.957623825648724,4.995115264104484,Weekday,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-13.385758495653292,-32.36431851728,5.59280152597341,Weekend,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,4.569099536381543,-9.918775933043095,19.056975005806184,Weekday,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,5.155379654688918,-9.333344206262202,19.64410351564004,Weekend,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,1.1703114205697491,-1.833723230835323,4.1743460719748215,Weekday,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,1.5864314004114328,-1.4324411788447409,4.605303979667607,Weekend,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,-0.2126851778800541,-14.199098757803725,13.773728402043616,Weekday,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,0.16126107288297753,-13.827174860298976,14.14969700606493,Weekend,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,-0.0755924866477244,-11.003393944709162,10.852208971413711,Weekday,Student
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,0.6301737351513577,-10.301136865335328,11.561484335638042,Weekend,Student
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,-1.790330101650485,-6.682546750213627,3.1018865469126564,Weekday,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,-1.482800675692297,-6.38956104094923,3.4239596895646365,Weekend,Unable To Work
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,-2.0201792388202966,-5.155687597065226,1.1153291194246333,Weekday,Employed For Wages
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,-1.550160873957944,-4.704910275191449,1.604588527275561,Weekend,Employed For Wages
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,-2.1912428825448007,-6.648714380867617,2.266228615778015,Weekday,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,-1.7330526392156382,-6.204814563581352,2.738709285150075,Weekend,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-14.774083412037516,-34.219124668245826,4.67095784417079,Weekday,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-14.200996078151269,-33.648404254499226,5.246412098196691,Weekend,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,4.617762213730757,-9.818395146752303,19.05391957421382,Weekday,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,5.206795183846417,-9.23115450882069,19.644744876513524,Weekend,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,1.1564266527906764,-1.8371518422508424,4.150005147832195,Weekday,Retired
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,1.5638023443865965,-1.4462686569825742,4.573873345755767,Weekend,Retired
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,-0.2695403111871451,-14.26539777085378,13.726317148479492,Weekday,Self Employed
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,0.10308197704739457,-13.894815294497493,14.100979248592283,Weekend,Self Employed
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,-0.16861847720268705,-11.055654182340444,10.71841722793507,Weekday,Student
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,0.5402913109502168,-10.350787441051947,11.43137006295238,Weekend,Student
