batch,strata,series,difference
base,Overall | Employed For Wages | Weekday | AllDST,Direct Duration Model,-0.2384717618905423
dst,Overall | Out Of Work Less Than One | Weekday | DST,Direct Duration Model,-0.9904619126618704
dst,Overall | Out Of Work Less Than One | Weekday | DST,Duration Model Adjusted for Midpoint,4.053390139290422
dst,Overall | Out Of Work Less Than One | Weekday | NoDST,Direct Duration Model,-1.0097832278147747
dst,Overall | Out Of Work Less Than One | Weekday | NoDST,Duration Model Adjusted for Midpoint,4.0317277915962535
dst,Overall | Out Of Work Less Than One | Weekend | DST,Direct Duration Model,-0.6644015806985808
dst,Overall | Out Of Work Less Than One | Weekend | DST,Duration Model Adjusted for Midpoint,4.178902188393897
dst,Overall | Out Of Work Less Than One | Weekend | NoDST,Direct Duration Model,-0.7330277061753974
dst,Overall | Out Of Work Less Than One | Weekend | NoDST,Duration Model Adjusted for Midpoint,4.112244887320064
dst,Overall | Out Of Work One Or More | Weekday | DST,Direct Duration Model,1.4272903482327042
dst,Overall | Out Of Work One Or More | Weekday | DST,Duration Model Adjusted for Midpoint,-0.43494837602253433
dst,Overall | Out Of Work One Or More | Weekday | NoDST,Direct Duration Model,1.407969033079798
dst,Overall | Out Of Work One Or More | Weekday | NoDST,Duration Model Adjusted for Midpoint,-0.45661072371670386
dst,Overall | Out Of Work One Or More | Weekend | DST,Direct Duration Model,1.507594236915038
dst,Overall | Out Of Work One Or More | Weekend | DST,Duration Model Adjusted for Midpoint,-0.5488349565162469
dst,Overall | Out Of Work One Or More | Weekend | NoDST,Direct Duration Model,1.4389681114382196
dst,Overall | Out Of Work One Or More | Weekend | NoDST,Duration Model Adjusted for Midpoint,-0.6154922575900823
dst,Overall | Retired | Weekday | DST,Direct Duration Model,0.09987586763429412
dst,Overall | Retired | Weekday | DST,Duration Model Adjusted for Midpoint,-0.3878835613244789
dst,Overall | Retired | Weekday | NoDST,Direct Duration Model,0.08055455248138621
dst,Overall | Retired | Weekday | NoDST,Duration Model Adjusted for Midpoint,-0.4095459090186484
dst,Overall | Retired | Weekend | DST,Direct Duration Model,0.36326759812173925
dst,Overall | Retired | Weekend | DST,Duration Model Adjusted for Midpoint,-0.2802996198790897
dst,Overall | Retired | Weekend | NoDST,Direct Duration Model,0.2946414726449209
dst,Overall | Retired | Weekend | NoDST,Duration Model Adjusted for Midpoint,-0.3469569209529251
dst,Overall | Self Employed | Weekday | DST,Direct Duration Model,-1.5392986278794751
dst,Overall | Self Employed | Weekday | DST,Duration Model Adjusted for Midpoint,-2.2740659294378247
dst,Overall | Self Employed | Weekday | NoDST,Direct Duration Model,-1.5586199430323813
dst,Overall | Self Employed | Weekday | NoDST,Duration Model Adjusted for Midpoint,-2.2957282771319925
dst,Overall | Self Employed | Weekend | DST,Direct Duration Model,-1.425949342295196
dst,Overall | Self Employed | Weekend | DST,Duration Model Adjusted for Midpoint,-2.288487970493847
dst,Overall | Self Employed | Weekend | NoDST,Direct Duration Model,-1.4945754677720142
dst,Overall | Self Employed | Weekend | NoDST,Duration Model Adjusted for Midpoint,-2.3551452715676824
dst,Overall | Student | Weekday | DST,Direct Duration Model,6.577691635936134e-4
dst,Overall | Student | Weekday | DST,Duration Model Adjusted for Midpoint,0.4619720076453069
dst,Overall | Student | Weekday | NoDST,Direct Duration Model,-0.01866354598931252
dst,Overall | Student | Weekday | NoDST,Duration Model Adjusted for Midpoint,0.44030965995113736
dst,Overall | Student | Weekend | DST,Direct Duration Model,0.24549901292345488
dst,Overall | Student | Weekend | DST,Duration Model Adjusted for Midpoint,0.4640833841147716
dst,Overall | Student | Weekend | NoDST,Direct Duration Model,0.17687288744663743
dst,Overall | Student | Weekend | NoDST,Duration Model Adjusted for Midpoint,0.3974260830409379
dst,Overall | Unable To Work | Weekday | DST,Direct Duration Model,171.34060702704738
dst,Overall | Unable To Work | Weekday | DST,Duration Model Adjusted for Midpoint,187.18443177582205
dst,Overall | Unable To Work | Weekday | NoDST,Direct Duration Model,171.3212857118944
dst,Overall | Unable To Work | Weekday | NoDST,Duration Model Adjusted for Midpoint,187.1627694281277
dst,Overall | Unable To Work | Weekend | DST,Direct Duration Model,171.49362293516688
dst,Overall | Unable To Work | Weekend | DST,Duration Model Adjusted for Midpoint,187.252448188213
dst,Overall | Unable To Work | Weekend | NoDST,Direct Duration Model,171.4249968096902
dst,Overall | Unable To Work | Weekend | NoDST,Duration Model Adjusted for Midpoint,187.1857908871393
