outcome,outcome_type,batch,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,age_at_sleep,estimate,conf.low,conf.high,dst_observes
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,09,NA,-1.5736511170364578,-4.578188813844353,1.4308865797714367,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,10,NA,-1.5680187160256867,-4.5723528239611015,1.4363153919097278,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,11,NA,-1.566305381305179,-4.570587151574737,1.4379763889643793,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,12,NA,-1.5848086071809844,-4.5891272242061,1.419510009844132,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,01,NA,7.294871777531422,3.521837461890354,11.067906093172489,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,02,NA,7.319464177331936,3.5461514373159697,11.092776917347901,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,03,NA,7.3151282660713814,3.5422089378704205,11.088047594272343,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,04,NA,7.320904427441075,3.5480536927542783,11.09375516212787,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,05,NA,7.317462309726433,3.5441399543641303,11.090784665088734,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,06,NA,7.341040480983437,3.5672615567799455,11.114819405186928,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,07,NA,7.336407440804805,3.5628985677674825,11.109916313842126,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,08,NA,7.3357019071778105,3.5625311675300484,11.10887264682557,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,09,NA,7.3057445102910155,3.5330833478350305,11.078405672747,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,10,NA,7.32741916405328,3.5550234542762364,11.099814873830322,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,11,NA,7.336785542399833,3.5644603549839813,11.109110729815686,PooledDST
offset,ClockTime,base,primary,month_x_dst,NA,NA,NA,12,NA,7.273799848076885,3.5014450627224116,11.046154633431357,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,01,NA,7.294871777531422,3.521837461890354,11.067906093172489,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,02,NA,7.319464177331936,3.5461514373159697,11.092776917347901,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,03,NA,7.3151282660713814,3.5422089378704205,11.088047594272343,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,04,NA,7.320904427441075,3.5480536927542783,11.09375516212787,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,05,NA,7.317462309726433,3.5441399543641303,11.090784665088734,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,06,NA,7.341040480983437,3.5672615567799455,11.114819405186928,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,07,NA,7.336407440804805,3.5628985677674825,11.109916313842126,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,08,NA,7.3357019071778105,3.5625311675300484,11.10887264682557,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,09,NA,7.3057445102910155,3.5330833478350305,11.078405672747,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,10,NA,7.32741916405328,3.5550234542762364,11.099814873830322,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,11,NA,7.336785542399833,3.5644603549839813,11.109110729815686,PooledDST
offset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,12,NA,7.273799848076885,3.5014450627224116,11.046154633431357,PooledDST
