outcome,batch,category,term,estimate,conf.low,conf.high
duration,dst,Employment,Student,4.298742460873814,-3.0930380539430415,11.69052297569067
duration,dst,Employment,Unable To Work,191.03514717525462,-363.7097532976348,745.7800476481441
midpoint,base,Employment,Employed For Wages,3.2035562799808317,0.042130709915422226,6.364981850046242
midpoint,base,Employment,Homemaker,3.84616462420992,-0.9765279768180598,8.6688572252379
midpoint,base,Employment,Out Of Work Less Than One,-14.13099038538044,-34.67134187157377,6.409361100812897
midpoint,base,Employment,Out Of Work One Or More,10.11542129156661,-5.573633182081275,25.804475765214494
midpoint,base,Employment,Retired,5.538486337411672,2.2769386231101247,8.800034051713219
midpoint,base,Employment,Self Employed,5.553849825211353,-9.593218764234347,20.700918414657053
midpoint,base,Employment,Student,2.4485633161807514,-9.381158805123501,14.278285437485003
midpoint,base,Employment,Unable To Work,1.1383192816180105,-4.166564123548113,6.443202686784135
midpoint,dst,Employment,Employed For Wages,2.1581482121579025,-1.2340098035985982,5.550306227914403
midpoint,dst,Employment,Homemaker,3.8162392563230645,-0.9977018695070072,8.630180382153135
midpoint,dst,Employment,Out Of Work Less Than One,-14.171961540213688,-35.128103333653854,6.784180253226481
midpoint,dst,Employment,Out Of Work One Or More,10.17333990539247,-5.393282255035059,25.73996206582
midpoint,dst,Employment,Retired,5.529876088524492,2.2925390188613397,8.767213158187646
midpoint,dst,Employment,Self Employed,5.800531376038321,-9.292545292984697,20.89360804506134
midpoint,dst,Employment,Student,2.301745200451841,-9.432965025039188,14.03645542594287
midpoint,dst,Employment,Unable To Work,-27.674149524989765,-642.8766958151285,587.528396765149
offset,base,Employment,Employed For Wages,7.307359068276643,3.6025003456939118,11.012217790859374
offset,base,Employment,Homemaker,9.103661678672692,3.4521800944799894,14.755143262865396
offset,base,Employment,Out Of Work Less Than One,-13.735066975880688,-37.792894241961086,10.322760290199714
offset,base,Employment,Out Of Work One Or More,14.009069392280157,-4.375461542974709,32.39360032753502
offset,base,Employment,Retired,9.827718100663688,6.0052037989855735,13.650232402341803
offset,base,Employment,Self Employed,11.780375807505997,-5.969629762036122,29.530381377048116
offset,base,Employment,Student,4.561036242741796,-9.294525623474023,18.416598108957615
offset,base,Employment,Unable To Work,3.951371390233372,-2.264199061559583,10.166941842026326
offset,dst,Employment,Employed For Wages,5.96559582228384,1.9934555629302535,9.937736081637425
offset,dst,Employment,Homemaker,9.13684729855743,3.501231801209673,14.772462795905188
offset,dst,Employment,Out Of Work Less Than One,-13.333771747046297,-37.85433182332183,11.186788329229229
offset,dst,Employment,Out Of Work One Or More,14.153480044447639,-4.069842554151195,32.376802643046474
offset,dst,Employment,Retired,9.82843133334221,6.037884341324889,13.618978325359533
offset,dst,Employment,Self Employed,12.23773848764258,-5.432484504654709,29.907961479939868
offset,dst,Employment,Student,4.361500486704054,-9.369322512419274,18.092323485827386
offset,dst,Employment,Unable To Work,201.83546857189236,-540.1086886697468,943.7796258135315
onset,base,Employment,Employed For Wages,-1.0701715495994233,-3.9894586490146144,1.8491155498157679
onset,base,Employment,Homemaker,-1.8430754890168775,-6.29653859284991,2.6103876148161547
onset,base,Employment,Out Of Work Less Than One,-13.683506388212706,-32.66097117146436,5.293958395038947
onset,base,Employment,Out Of Work One Or More,4.862239595535231,-9.626060069652649,19.35053926072311
onset,base,Employment,Retired,1.3783714104905909,-1.633082204840032,4.389825025821214
onset,base,Employment,Self Employed,-0.02571205249853828,-14.01313680905135,13.961712704054273
onset,base,Employment,Student,0.2772906242518166,-10.652265405022245,11.206846653525876
onset,base,Employment,Unable To Work,-1.636565388671391,-6.5360538955814285,3.2629231182386462
onset,dst,Employment,Employed For Wages,-1.7851700563891204,-4.930298936128338,1.3599588233500972
onset,dst,Employment,Homemaker,-1.9621477608802196,-6.426764472224484,2.502468950464045
onset,dst,Employment,Out Of Work Less Than One,-14.487539745094391,-33.933764461372526,4.95868497118374
onset,dst,Employment,Out Of Work One Or More,4.912278698788587,-9.524774827786498,19.34933222536367
onset,dst,Employment,Retired,1.3601144985886364,-1.6417102496167084,4.36193924679398
onset,dst,Employment,Self Employed,-0.08322916706987527,-14.080106532675636,13.913648198535888
onset,dst,Employment,Student,0.18583641687376484,-10.703220811696195,11.074893645443726
onset,dst,Employment,Unable To Work,-81.78256362225513,-633.0893277668142,469.52420052230394
duration,base,Weekend Effect,Weekday,8.215488600270827,6.245068804716087,10.185908395825567
duration,base,Weekend Effect,Weekend,8.340153063219404,6.343007453763807,10.337298672675
duration,dst,Weekend Effect,Weekday,7.740539681905422,5.593648170683738,9.887431193127108
duration,dst,Weekend Effect,Weekend,7.903771213738764,5.7277087386817165,10.079833688795812
midpoint,base,Weekend Effect,Weekday,2.9051876110313817,-0.24635075162780273,6.0567259736905665
midpoint,base,Weekend Effect,Weekend,3.5019249489302817,0.3306121714586472,6.673237726401917
midpoint,dst,Weekend Effect,Weekday,1.8469122286136757,-1.5341125879501685,5.227937045177519
midpoint,dst,Weekend Effect,Weekend,2.4693841957021294,-0.933907019247028,5.872675410651286
offset,base,Weekend Effect,Weekday,7.1432239704008,3.4506699316663085,10.835778009135293
offset,base,Weekend Effect,Weekend,7.471494166152486,3.7543307597215154,11.188657572583455
offset,dst,Weekend Effect,Weekday,5.776096146449362,1.8178129041882232,9.7343793887105
offset,dst,Weekend Effect,Weekend,6.1550954981183175,2.1690982216722836,10.14109277456435
onset,base,Weekend Effect,Weekday,-1.3107363917605708,-4.221445073779144,1.599972290258002
onset,base,Weekend Effect,Weekend,-0.8296067074382758,-3.757472224250085,2.098258809373534
onset,dst,Weekend Effect,Weekday,-2.0201792388202966,-5.155687597065226,1.1153291194246333
onset,dst,Weekend Effect,Weekend,-1.550160873957944,-4.704910275191449,1.604588527275561
