batch,derived_midpoint_linear,series,duration_estimate
dst,3.5331722823270537,Duration Model Adjusted for Midpoint,9.43763357612311
dst,22.35266583040944,Direct Duration Model,4.442453610827751
dst,22.35266583040944,Duration Model Adjusted for Midpoint,5.869623325064025
dst,22.50474106619945,Direct Duration Model,4.379441492849756
dst,22.50474106619945,Duration Model Adjusted for Midpoint,5.766437641652916
dst,22.9394096419516,Direct Duration Model,4.671421288085481
dst,22.9394096419516,Duration Model Adjusted for Midpoint,5.940880496020496
dst,23.08823658376008,Direct Duration Model,4.600008049709258
dst,23.08823658376008,Duration Model Adjusted for Midpoint,5.829291054091738
dst,19.75697388258006,Direct Duration Model,0.12256288549039684
dst,19.75697388258006,Duration Model Adjusted for Midpoint,-1.7767903976511954
dst,19.90904911837007,Direct Duration Model,0.05955076751240194
dst,19.90904911837007,Duration Model Adjusted for Midpoint,-1.8799760810623032
dst,20.32484685018323,Direct Duration Model,0.3116115855651144
dst,20.32484685018323,Duration Model Adjusted for Midpoint,-1.742067803052184
dst,20.47367379199171,Direct Duration Model,0.24019834718889124
dst,20.47367379199171,Duration Model Adjusted for Midpoint,-1.853657244980942
dst,12.331005693962137,Direct Duration Model,12.219735765145131
dst,12.331005693962137,Duration Model Adjusted for Midpoint,10.193090813118816
dst,12.483080929752148,Direct Duration Model,12.156723647167135
dst,12.483080929752148,Duration Model Adjusted for Midpoint,10.089905129707708
dst,12.97536636490159,Direct Duration Model,12.494754138595251
dst,12.97536636490159,Duration Model Adjusted for Midpoint,10.298393934479517
dst,13.124193306710067,Direct Duration Model,12.423340900219028
dst,13.124193306710067,Duration Model Adjusted for Midpoint,10.186804492550756
dst,2.764678246160698,Direct Duration Model,8.21372314635605
dst,2.764678246160698,Duration Model Adjusted for Midpoint,8.35443693738931
dst,2.916753481950711,Direct Duration Model,8.150711028378055
dst,2.916753481950711,Duration Model Adjusted for Midpoint,8.251251253978202
dst,3.36830635486958,Direct Duration Model,8.459477708675463
dst,3.36830635486958,Duration Model Adjusted for Midpoint,8.43763175114492
dst,3.517133296678061,Direct Duration Model,8.38806447029924
dst,3.517133296678061,Duration Model Adjusted for Midpoint,8.326042309216161
dst,1.9723145740578096,Direct Duration Model,4.240558070812874
dst,1.9723145740578096,Duration Model Adjusted for Midpoint,4.738352368444905
dst,2.124389809847824,Direct Duration Model,4.177545952834879
dst,2.124389809847824,Duration Model Adjusted for Midpoint,4.635166685033796
dst,2.5919053898914637,Direct Duration Model,4.450005597216955
dst,2.5919053898914637,Duration Model Adjusted for Midpoint,4.783594441566138
dst,2.7407323316999443,Direct Duration Model,4.378592358840732
dst,2.7407323316999443,Duration Model Adjusted for Midpoint,4.67200499963738
dst,3.214079276242644,Direct Duration Model,7.389568096620865
dst,3.214079276242644,Duration Model Adjusted for Midpoint,7.328496894394352
dst,3.366154512032658,Direct Duration Model,7.326555978642869
dst,3.366154512032658,Duration Model Adjusted for Midpoint,7.225311210983243
dst,3.854185679908872,Direct Duration Model,7.623069360582407
dst,3.854185679908872,Duration Model Adjusted for Midpoint,7.390715479776856
dst,4.003012621717352,Direct Duration Model,7.551656122206182
dst,4.003012621717352,Duration Model Adjusted for Midpoint,7.279126037848098
dst,3.1457368172299303,Direct Duration Model,10.645812116428589
dst,3.1457368172299303,Duration Model Adjusted for Midpoint,10.827513610749914
dst,3.297812053019944,Direct Duration Model,10.582799998450591
dst,3.297812053019944,Duration Model Adjusted for Midpoint,10.724327927338804
dst,3.7662470337218097,Direct Duration Model,10.883482172370572
dst,3.7662470337218097,Duration Model Adjusted for Midpoint,10.900916515522756
dst,3.9150739755302904,Direct Duration Model,10.812068933994349
dst,3.9150739755302904,Duration Model Adjusted for Midpoint,10.789327073593997
