batch,derived_duration_hours,series,midpoint_estimate
dst,7.755234667001616,Direct Midpoint Model,4.205553758349519
dst,7.755234667001616,Midpoint Model Adjusted for Duration,3.9162447262599702
dst,7.664896391112097,Direct Midpoint Model,4.360413194853095
dst,7.664896391112097,Midpoint Model Adjusted for Duration,4.095068806018181
dst,10.588765148017872,Direct Midpoint Model,3.2102300008283073
dst,10.588765148017872,Midpoint Model Adjusted for Duration,1.9665246452126175
dst,10.509744817777069,Direct Midpoint Model,3.365058546346834
dst,10.509744817777069,Midpoint Model Adjusted for Duration,2.1424795279420863
dst,10.909067393761882,Direct Midpoint Model,3.839595231489958
dst,10.909067393761882,Midpoint Model Adjusted for Duration,2.515378804353231
dst,10.818729117872364,Direct Midpoint Model,3.9944546679935335
dst,10.818729117872364,Midpoint Model Adjusted for Duration,2.694202884111441
