outcome,outcome_type,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,employment_clean,estimate,conf.low,conf.high,batch
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,18,Homemaker,6.159556094258679,0.7920623951608299,11.527049793356529,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,19,Homemaker,6.255822854930027,1.1944181955456408,11.317227514314414,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,20,Homemaker,6.352089615601378,1.596383908498594,11.107795322704163,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,21,Homemaker,6.4483537417228165,1.997871196558893,10.89883628688674,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,22,Homemaker,6.544428735367471,2.3982084510481405,10.690649019686802,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,23,Homemaker,6.639827199789084,2.7957862291915565,10.483868170386613,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,24,Homemaker,6.734033901212282,3.188891248210598,10.279176554213963,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,25,Homemaker,6.8265336058616795,3.5757857829438886,10.07728142877947,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,26,Homemaker,6.9168110799619,3.95470068679712,9.87892147312668,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,27,Homemaker,7.004351089737561,4.323822171266204,9.684880008208918,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,28,Homemaker,7.088638401413289,4.681275544006642,9.496001258819936,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,29,Homemaker,7.169157781213697,5.025100899052449,9.313214663374945,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,30,Homemaker,7.2453939953634094,5.353214284306426,9.137573706420394,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,31,Homemaker,7.316831810087042,5.663351663114749,8.970311957059335,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,32,Homemaker,7.382955991609223,5.952984756298301,8.812927226920145,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,33,Homemaker,7.443251306154564,6.219196127191196,8.667306485117932,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,34,Homemaker,7.497202519947691,6.458511938303577,8.535893101591805,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,35,Homemaker,7.544294399213226,6.666732986382385,8.421855812044067,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,36,Homemaker,7.584011710175783,6.838937837217555,8.329085583134011,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,37,Homemaker,7.615839219059985,6.970141395431646,8.261537042688323,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,38,Homemaker,7.639261692090456,7.057268478145765,8.221254906035147,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,39,Homemaker,7.65376389549181,7.102057277206852,8.205470513776769,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,40,Homemaker,7.658830595488673,7.1121472506774435,8.205513940299902,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,41,Homemaker,7.653946558305661,7.098402558678835,8.209490557932487,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,42,Homemaker,7.638596550167396,7.071020410521553,8.206172689813238,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,43,Homemaker,7.612265337298498,7.03749061283007,8.187040061766927,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,44,Homemaker,7.574437685923589,7.002348320559413,8.146527051287764,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,45,Homemaker,7.524849775999147,6.967349224718837,8.082350327279459,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,46,Homemaker,7.465040511450637,6.931289294759836,7.998791728141438,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,47,Homemaker,7.397335609398899,6.890740281983587,7.90393093681421,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,48,Homemaker,7.324064066539634,6.840830481619365,7.807297651459903,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,49,Homemaker,7.247554879568538,6.776372204420976,7.7187375547161,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,50,Homemaker,7.170137045181311,6.69404407281381,7.646230017548811,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,51,Homemaker,7.094139560073654,6.594767602946151,7.593511517201158,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,52,Homemaker,7.021891420941268,6.484229806569191,7.559553035313344,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,53,Homemaker,6.95572162447985,6.371110204483639,7.540333044476061,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,54,Homemaker,6.897959167385101,6.264874645861,7.531043688909201,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,55,Homemaker,6.85093304635272,6.174516937146176,7.527349155559264,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,56,Homemaker,6.816936752689957,6.108085879147194,7.525787626232719,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,57,Homemaker,6.797054800714836,6.069907014191605,7.524202587238067,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,58,Homemaker,6.790893681525679,6.059838991839456,7.521948371211902,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,59,Homemaker,6.797969889654554,6.0765940491240995,7.519345730185008,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,60,Homemaker,6.817799919633536,6.118017214209474,7.5175826250575986,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,61,Homemaker,6.849900265994693,6.180927077590716,7.51887345439867,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,62,Homemaker,6.893787423270103,6.2607265371987015,7.526848309341505,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,63,Homemaker,6.948977885991834,6.350812070548906,7.547143701434762,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,64,Homemaker,7.014988148691957,6.442051721377133,7.587924576006781,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,65,Homemaker,7.0913347059025496,6.52322550775536,7.6594439040497395,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,66,Homemaker,7.177534052155679,6.583675614169264,7.7713924901420945,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,67,Homemaker,7.273102681983418,6.6173926090558215,7.928812754911014,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,68,Homemaker,7.377557089917841,6.624633623344698,8.130480556490983,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,69,Homemaker,7.490413770491019,6.609557418671696,8.371270122310342,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,70,Homemaker,7.6111892182350225,6.577080228806976,8.64529820766307,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,71,Homemaker,7.739399927681925,6.531311798350991,8.947488057012858,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,72,Homemaker,7.874562393363801,6.475287483785609,9.273837302941994,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,73,Homemaker,8.016193109812717,6.411171185189211,9.621215034436222,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,74,Homemaker,8.16380857156075,6.340515758703203,9.987101384418295,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,75,Homemaker,8.31692527313997,6.264463869994154,10.369386676285789,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,76,Homemaker,8.475059709082451,6.183887080196214,10.766232337968688,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,77,Homemaker,8.637728373920263,6.099474304919374,11.175982442921152,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,78,Homemaker,8.804447762185479,6.011791059844129,11.59710446452683,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,79,Homemaker,8.974734368410171,5.921317424514568,12.028151312305775,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,80,Homemaker,9.14810468712641,5.828473402055684,12.467735972197136,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,81,Homemaker,9.324075212866273,5.733634886926762,12.91451553880578,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,82,Homemaker,9.502162440161824,5.637147271544963,13.367177608778684,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,83,Homemaker,9.68188286354514,5.539330910916642,13.82443481617364,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,84,Homemaker,9.862752977548295,5.440490278975198,14.285015676121391,pooled
duration,Duration,primary,age_x_employment,Homemaker,NA,NA,NA,NA,85,Homemaker,10.04428927670336,5.34091473704418,14.74766381636254,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,18,Out Of Work Less Than One,3.6201048925678063,-1.2323776021639334,8.472587387299548,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,19,Out Of Work Less Than One,3.816189309533158,-0.7444579302349972,8.376836549301313,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,20,Out Of Work Less Than One,4.012273726498512,-0.2571579714580938,8.281705424455117,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,21,Out Of Work Less Than One,4.208354825299095,0.22937785860334925,8.18733179199484,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,22,Out Of Work Less Than One,4.404197715395206,0.7143841570967222,8.09401127369369,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,23,Out Of Work Less Than One,4.599188529991128,1.1961028173504888,8.002274242631767,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,24,Out Of Work Less Than One,4.7926783420901895,1.6726406884647664,7.912715995715613,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,25,Out Of Work Less Than One,4.984018224695709,2.1420405544652814,7.825995894926137,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,26,Out Of Work Less Than One,5.172559250811016,2.602255585772434,7.742862915849598,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,27,Out Of Work Less Than One,5.357652493439429,3.0511119044309125,7.664193082447944,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,28,Out Of Work Less Than One,5.538649025584277,3.486252911042853,7.591045140125701,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,29,Out Of Work Less Than One,5.71489992024888,3.905052704434099,7.52474713606366,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,30,Out Of Work Less Than One,5.885756250436567,4.304486688878871,7.467025811994263,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,31,Out Of Work Less Than One,6.050569089150656,4.680941897360529,7.420196280940783,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,32,Out Of Work Less Than One,6.208689509394476,5.0299574989376765,7.387421519851275,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,33,Out Of Work Less Than One,6.3594685841713465,5.345958692112078,7.372978476230615,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,34,Out Of Work Less Than One,6.502257386484595,5.6222417454943265,7.382273027474863,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,35,Out Of Work Less Than One,6.636406989337548,5.851876414838748,7.420937563836348,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,36,Out Of Work Less Than One,6.761268465733523,6.03030730245718,7.4922296290098656,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,37,Out Of Work Less Than One,6.876192888675847,6.158823598451785,7.593562178899909,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,38,Out Of Work Less Than One,6.980531331167849,6.245462386896211,7.715600275439487,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,39,Out Of Work Less Than One,7.073634866212846,6.301739128951399,7.845530603474292,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,40,Out Of Work Less Than One,7.154854566814166,6.3385343449330325,7.971174788695299,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,41,Out Of Work Less Than One,7.223541505975128,6.364162778929408,8.0829202330208485,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,42,Out Of Work Less Than One,7.279046756699063,6.384336825509672,8.173756687888453,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,43,Out Of Work Less Than One,7.320721391989292,6.4027623449714195,8.238680439007165,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,44,Out Of Work Less Than One,7.347916484849137,6.421691370572865,8.27414159912541,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,45,Out Of Work Less Than One,7.360195394789845,6.442159694239619,8.278231095340072,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,46,Out Of Work Less Than One,7.358643649476671,6.463614884485266,8.253672414468076,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,47,Out Of Work Less Than One,7.345011138956336,6.484518054445861,8.20550422346681,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,48,Out Of Work Less Than One,7.321050522454033,6.502802882844927,8.13929816206314,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,49,Out Of Work Less Than One,7.288514459194957,6.515997968158816,8.061030950231098,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,50,Out Of Work Less Than One,7.249155608404302,6.521390802919528,7.976920413889076,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,51,Out Of Work Less Than One,7.204726629307267,6.516348665917419,7.893104592697115,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,52,Out Of Work Less Than One,7.156980181129044,6.498884299841514,7.8150760624165745,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,53,Out Of Work Less Than One,7.107668923094829,6.468431519587561,7.746906326602097,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,54,Out Of Work Less Than One,7.058545514429817,6.426539018831383,7.690552010028251,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,55,Out Of Work Less Than One,7.011362614359203,6.3770522874231785,7.645672941295227,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,56,Out Of Work Less Than One,6.967848763515384,6.325563555359663,7.610133971671106,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,57,Out Of Work Less Than One,6.928911251870617,6.27704838438852,7.580774119352714,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,58,Out Of Work Less Than One,6.894453357281375,6.234139369934009,7.554767344628741,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,59,Out Of Work Less Than One,6.864317223488169,6.198283060205536,7.530351386770803,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,60,Out Of Work Less Than One,6.838344994231522,6.170027224341676,7.506662764121368,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,61,Out Of Work Less Than One,6.816378813251948,6.149181904116565,7.483575722387331,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,62,Out Of Work Less Than One,6.7982608242899705,6.134923220394135,7.461598428185806,pooled
duration,Duration,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,63,Out Of Work Less Than One,6.783833171086104,6.12584925839523,7.441817083776978,pooled
