outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,day_type,employment_clean
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,4.442453610827751,-6.413461114121463,15.298368335776964,Weekday,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,4.671421288085481,-6.185231006757032,15.528073582927997,Weekend,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,0.12256288549039684,-9.979449480899344,10.224575251880136,Weekday,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,0.3116115855651144,-9.791186321254395,10.414409492384625,Weekend,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,12.219735765145131,-0.5635276588701341,25.0029991891604,Weekday,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,12.494754138595251,-0.2895370230549119,25.279045300245414,Weekend,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,8.21372314635605,6.270125309210387,10.157320983501714,Weekday,Retired
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,8.459477708675463,6.512239666277179,10.406715751073747,Weekend,Retired
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,4.240558070812874,0.7145738407411084,7.766542300884639,Weekday,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,4.450005597216955,0.92187745318853,7.978133741245379,Weekend,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,7.389568096620865,4.54996007842163,10.2291761148201,Weekday,Student
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,7.623069360582407,4.780805530003428,10.465333191161385,Weekend,Student
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,10.645812116428589,7.567668417261769,13.723955815595408,Weekday,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,10.883482172370572,7.802787117215692,13.964177227525452,Weekend,Unable To Work
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,2.7033966371221103,-0.4919243518263268,5.898717626070548,Weekday,Employed For Wages
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,3.307157798077901,0.10890590449397576,6.505409691661826,Weekend,Employed For Wages
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,-0.9571423650243588,-16.87772391222476,14.96343918217604,Weekday,Homemaker
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,-0.3720813459972054,-16.29334082177553,15.54917812978112,Weekend,Homemaker
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,8.636095975537403,-6.7784440266204395,24.050635977695244,Weekday,Out Of Work Less Than One
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,9.220859908880463,-6.194382006514747,24.636101824275677,Weekend,Out Of Work Less Than One
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,13.88378927585865,-5.160719445556513,32.928297997273816,Weekday,Out Of Work One Or More
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,14.527144112494035,-4.518432021740438,33.57272024672851,Weekend,Out Of Work One Or More
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,2.926122326684447,0.00459515646715225,5.847649496901742,Weekday,Retired
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,3.5462372642319315,0.6216386584144105,6.470835870049452,Weekend,Retired
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,2.092957472599586,-3.2878966132653917,7.473811558464563,Weekday,Self Employed
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,2.715199303109818,-2.66751148749461,8.097910093714246,Weekend,Self Employed
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,3.4720163328704694,-0.8953341946120603,7.839366860353,Weekday,Student
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,4.12159441424911,-0.24806097698445215,8.49124980548267,Weekend,Student
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,3.1877623034207163,-1.5581458200550244,7.933670426896457,Weekday,Unable To Work
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,3.809835880569798,-0.938289191812088,8.557960952951685,Weekend,Unable To Work
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,2.757530735897596,-0.4689542947745289,5.984015766569721,Weekday,Employed For Wages
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,3.3682955295015646,0.13886963084834925,6.59772142815478,Weekend,Employed For Wages
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,1.3812578704248395,-14.695291112191295,17.457806853040974,Weekday,Homemaker
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,1.985508058809603,-14.09169681797074,18.062712935589943,Weekend,Homemaker
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,8.654839273588118,-6.7701845840940855,24.07986313127032,Weekday,Out Of Work Less Than One
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,9.246085939926044,-6.179649694351443,24.67182157420353,Weekend,Out Of Work Less Than One
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,13.80764962093756,-5.246556852990292,32.861856094865416,Weekday,Out Of Work One Or More
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,14.457969967396384,-4.597316139569838,33.5132560743626,Weekend,Out Of Work One Or More
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,2.8860198530259167,-0.1077297531541852,5.879769459206019,Weekday,Retired
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,3.50885218523635,0.5120765455624463,6.5056278249102535,Weekend,Retired
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,1.9085451800062097,-3.503074009778259,7.320164369790677,Weekday,Self Employed
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,2.5376641031087077,-2.8758189245979926,7.951147130815408,Weekend,Self Employed
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,3.549343799784893,-0.8248992553675016,7.923586854937287,Weekday,Student
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,4.205553758349519,-0.17101915613792862,8.582126672836967,Weekend,Student
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,3.2102300008283073,-1.5394415337293357,7.95990153538595,Weekday,Unable To Work
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,3.839595231489958,-0.9123115601034542,8.59150202308337,Weekend,Unable To Work
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,7.197459667138626,3.493158560504614,10.901760773772638,Weekday,Employed For Wages
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,7.936798461506806,4.228840302408512,11.6447566206051,Weekend,Employed For Wages
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,-2.244133122472605,-20.807826856607456,16.319560611662247,Weekday,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,-1.520438258751912,-20.084969830608053,17.044093313104227,Weekend,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,6.811144394013352,-11.078503553259042,24.700792341285748,Weekday,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,7.510335466538514,-10.38017665789014,25.400847590967167,Weekend,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,16.621950508120506,-5.562903999887514,38.80680501612852,Weekday,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,17.431022704786642,-4.755123870574025,39.61716928014731,Weekend,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,6.734928720073435,3.348719024871259,10.12113841527561,Weekday,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,7.50498038585214,4.114930335602375,10.895030436101903,Weekend,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,4.39045882876282,-1.8496016553224672,10.630519312848108,Weekday,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,5.154739929119918,-1.0876266430847252,11.39710650132456,Weekend,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,6.871569911513349,1.8097575964431216,11.933382226583577,Weekday,Student
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,7.666429314833989,2.6017576932277766,12.7311009364402,Weekend,Student
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,8.422067353257244,2.9228064959408213,13.921328210573666,Weekday,Unable To Work
offset,ClockTime,base,REML,offset_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,9.191914227289606,3.6899031989260926,14.69392525565312,Weekend,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,7.258845730736576,3.5119171055151592,11.005774355957993,Weekday,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,8.010356134238766,4.259761751283483,11.760950517194049,Weekend,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,-0.26620319690986266,-19.04141750534809,18.50901111152836,Weekday,Homemaker
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,0.47915306821665754,-18.29687309258031,19.255179229013624,Weekend,Homemaker
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,6.824738398377797,-11.108981965150598,24.75845876190619,Weekday,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,7.534674113637718,-10.399927036720351,25.469275263995787,Weekend,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,16.458051659861017,-5.774771463197784,38.69087478291982,Weekday,Out Of Work One Or More
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,17.278417479430473,-4.9557122467509664,39.51254720561191,Weekend,Out Of Work One Or More
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,6.779360916426864,3.303135212514486,10.25558662033924,Weekday,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,7.5554539395875135,4.075447526609997,11.03546035256503,Weekend,Retired
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,4.294482061834522,-1.9926981018375436,10.581662225506587,Weekday,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,5.068918686018608,-1.2205745266903056,11.35841189872752,Weekend,Self Employed
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,6.926285230694302,1.847201366440001,12.005369094948602,Weekday,Student
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,7.73180301340968,2.6498312525687684,12.813774774250591,Weekend,Student
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,8.440119391238866,2.9263787509200743,13.953860031557658,Weekday,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,9.220780730602751,3.704269259631885,14.737292201573617,Weekend,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,-1.738121280769709,-4.704509283576663,1.2282667220372454,Weekday,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,-1.3189273276314264,-4.287889567233854,1.6500349119710016,Weekend,Employed For Wages
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,-5.384572596920528,-20.096549483957254,9.327404290116204,Weekday,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,-4.984225132235383,-19.696801692167433,9.72835142769667,Weekend,Homemaker
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,8.625243021301172,-5.67226400447189,22.92275004707423,Weekday,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,9.040874863985788,-5.257253786813848,23.33900351478542,Weekend,Out Of Work Less Than One
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,8.354522742295101,-9.257486860927491,25.96653234551769,Weekday,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,8.812127144288384,-8.800842244204697,26.425096532781467,Weekend,Out Of Work One Or More
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,-1.0939291854278514,-3.806575855031746,1.618717484176043,Weekday,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,-0.6705299573361085,-3.3858696472022167,2.044809732529999,Weekend,Retired
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,-0.08230761919041829,-5.076284051863405,4.911668813482569,Weekday,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,0.3715652958864893,-4.624047807740813,5.367178399513791,Weekend,Self Employed
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,-0.598185272315346,-4.653407352764574,3.457036808133881,Weekday,Student
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,-0.13379908638851945,-4.191055111204442,3.923456938427403,Weekend,Student
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,-2.16492004344495,-6.572470556445161,2.242630469555261,Weekday,Unable To Work
onset,ClockTime,base,REML,onset_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,-1.7158513879348172,-6.125358106025176,2.693655330155541,Weekend,Unable To Work
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,-1.6709323361957693,-4.65499188918821,1.3131272167966717,Weekday,Employed For Wages
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,-1.2416654532016198,-4.2283214100482445,1.7449905036450046,Weekend,Employed For Wages
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,-3.0284651422712603,-17.839403938259935,11.782473653717412,Weekday,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,-2.600333784313458,-17.411854128975133,12.211186560348215,Weekend,Homemaker
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,8.689209366782322,-5.56547482472139,22.943893558286035,Weekday,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,9.115019586728744,-5.140297293883767,23.370336467341257,Weekend,Out Of Work Less Than One
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,8.203959728063253,-9.360860762944291,25.7687802190708,Weekday,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,8.672315250372703,-8.893477540847032,26.23810804159244,Weekend,Out Of Work One Or More
onset,ClockTime,dst,REML,onset_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,-1.2500044241054689,-4.0190465455844855,1.519037697373548,Weekday,Retired
