outcome,outcome_type,outcome_variant,batch,model_method,model_file,estimate_DST,estimate_NoDST,nodst_minus_dst,contrast_scope,is_weekend_factor,month,term
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,36.08806930142505,35.322876611309255,-0.7651926901157964,by_month,NA,02,Month 02
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,32.760312547444,31.99511985732821,-0.7651926901157928,by_month,NA,03,Month 03
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,35.49896259440004,34.73376990428424,-0.7651926901158035,by_month,NA,04,Month 04
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,33.003153321207215,32.23796063109142,-0.7651926901157964,by_month,NA,05,Month 05
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,34.49407404498994,33.72888135487413,-0.7651926901158035,by_month,NA,06,Month 06
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,29.26012514983901,28.4949324597232,-0.7651926901158106,by_month,NA,07,Month 07
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,33.1373144902113,32.372121800095506,-0.7651926901157964,by_month,NA,08,Month 08
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,35.71570745050174,34.950514760385936,-0.7651926901158035,by_month,NA,09,Month 09
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,30.834701711043444,30.069509020927647,-0.7651926901157964,by_month,NA,10,Month 10
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,34.95804079539907,34.19284810528327,-0.7651926901158035,by_month,NA,11,Month 11
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,33.07114292411212,32.30595023399631,-0.7651926901158035,by_month,NA,12,Month 12
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,20.361741453322512,17.17473644547872,-3.1870050078437906,by_month,NA,01,Month 01
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,21.505668097060976,18.318663089217186,-3.1870050078437906,by_month,NA,02,Month 02
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,21.3595256552323,18.17252064738851,-3.1870050078437906,by_month,NA,03,Month 03
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,20.106788017243257,16.919783009399467,-3.1870050078437906,by_month,NA,04,Month 04
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,22.35867814632331,19.17167313847952,-3.1870050078437906,by_month,NA,05,Month 05
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,15.442963123876185,12.255958116032392,-3.1870050078437924,by_month,NA,06,Month 06
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,20.38438613470538,17.19738112686159,-3.1870050078437906,by_month,NA,07,Month 07
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,16.845523935072745,13.658518927228954,-3.1870050078437906,by_month,NA,08,Month 08
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,20.557969142404083,17.370964134560293,-3.1870050078437906,by_month,NA,09,Month 09
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,19.826122294499054,16.639117286655264,-3.1870050078437906,by_month,NA,10,Month 10
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,22.306167751728328,19.119162743884537,-3.1870050078437906,by_month,NA,11,Month 11
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,18.067999490422338,14.880994482578547,-3.1870050078437906,by_month,NA,12,Month 12
