outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,SE,df
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,02,NA,NA,NA,12.4017335674423,8.14739193789923,16.6560751969853,2.14288799824982,94.7047309354453
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,03,NA,NA,NA,12.1157464652439,7.59996081783035,16.6315321126574,2.25899335255127,61.9157171337735
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,04,NA,NA,NA,14.8814192358494,9.86963382050868,19.8932046511901,2.52444387050669,94.8083239755736
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,05,NA,NA,NA,12.2218606020038,5.86579007995582,18.577931124051705,3.20162875426277,94.9608196449865
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,06,NA,NA,NA,14.6548516667952,8.17231026004615,21.1373930735442,3.26525487092852,94.7835956875766
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,07,NA,NA,NA,10.902728282721,5.69881058442063,16.1066459810214,2.62109407609549,94.453916183816
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,08,NA,NA,NA,14.5042724734248,9.01570769352991,19.9928372533196,2.75831591478496,80.6304603031953
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,09,NA,NA,NA,11.1964308252809,6.35580890078278,16.037052749779,2.43806659617025,94.3235274566363
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,10,NA,NA,NA,12.7461042190929,7.82154606213071,17.6706623760551,2.48052063177773,94.8475623997322
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,11,NA,NA,NA,12.8319689131752,8.86075779733746,16.8031800290129,2.00029642374185,94.7767847280387
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,12,NA,NA,NA,8.17105091621012,2.94876528359881,13.3933365488214,2.63035603227775,94.4828458267207
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,11.7976937039621,5.79896228280889,17.7964251251154,3.0210872363563,93.6504571219134
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,12.3486121685184,7.68855695713815,17.0086673798987,2.34647457876704,92.3657165162383
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,12.06262506632,7.0794013559544,17.0458487766856,2.47987050781238,49.1023172216959
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,14.8282978369256,9.47752065486484,20.1790750189863,2.69507145936776,94.4745249625631
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,12.1687392030799,5.52339790307561,18.8140805030842,3.34727094718446,94.8138348453409
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,14.6017302678713,7.78846532098685,21.4149952147558,3.43163016892683,94.3368839741806
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,10.8496068837972,5.30514185527309,16.3940719123212,2.79186879564857,92.5353465060846
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,14.4511510745009,8.66431713805569,20.2379850109461,2.91206334410151,88.3066017734293
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,11.143309426357,5.74678540990637,16.5398334428077,2.7173906890905,92.5773926305922
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,12.6929828201691,7.3324505508625,18.0535150894756,2.70017856503872,94.9999128605407
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,12.7788475142513,8.37161578861919,17.1860792398835,2.21981515521807,94.4327476998712
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,8.11792951728627,2.27861680273454,13.957242231838,2.94065499040835,93.2973915601783
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Working,Weekday,NA,NA,NA,NA,NA,12.0425216659916,6.57351050135494,17.5115328306282,2.75389235149666,92.5803080882033
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,10.1251831810278,3.96110237204659,16.2892639900089,3.10415570182839,93.1803325222427
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,13.5299835601911,7.91345000972826,19.146517110654,2.82865899905828,93.7889124750337
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Not Working,Weekday,NA,NA,NA,NA,NA,12.50465828089,9.31488554527344,15.6944310165066,1.60147336296517,75.7619193977065
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Working,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_x_weekend,Not Working,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_main,Working,NA,NA,NA,NA,NA,NA,12.712129992637,9.04297792559983,16.3812820596742,1.84788006699615,93.7200680450239
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_main,Student,NA,NA,NA,NA,NA,NA,9.35476423863003,4.8445718633852,13.8649566138749,2.27132560817748,93.3299540116603
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_main,Retired,NA,NA,NA,NA,NA,NA,12.2220158473344,7.80730867465433,16.6367230200146,2.22339641588329,93.8345689440873
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_employment_main,Not Working,NA,NA,NA,NA,NA,NA,12.7253528872381,10.487750497224,14.9629552772523,1.12589473605526,87.6537536653606
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_weekend_main,NA,Weekday,NA,NA,NA,NA,NA,12.2270145559644,9.29669499586033,15.1573341160684,1.47273037633566,80.9124381519947
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_weekend_main,NA,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,Female,NA,NA,NA,NA,11.3228776991859,6.69066787922675,15.955087519145,2.3328551249735,93.5796208815288
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,I prefer not to answer,NA,NA,NA,NA,13.1517336921218,9.40343881862848,16.9000285656151,1.8877402547629,93.7269764343046
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,Intersex,NA,NA,NA,NA,12.0783852761731,8.07095034410528,16.0858202082408,2.01781085935259,92.1927015338041
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,Male,NA,NA,NA,NA,11.2017758341899,7.70020718381583,14.703344484564,1.76346821787688,93.6693028735883
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,No matching concept,NA,NA,NA,NA,12.7970824606206,8.95592629867958,16.6382386225615,1.93291174142584,88.1642718675871
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,PMI: Skip,NA,NA,NA,NA,13.5610356175225,8.60212106631846,18.5199501687265,2.49738268182335,93.5619326369922
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_sex_main,NA,NA,Sex At Birth: Sex At Birth None Of These,NA,NA,NA,NA,13.0510296759792,8.35337104884841,17.74868830311,2.36580363035336,93.5416914294437
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,01,NA,NA,NA,11.8817741750065,6.21958870435767,17.5439596456553,2.85154744137072,93.5296988038121
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,02,NA,NA,NA,12.4351310834156,8.10236135240742,16.7679008144238,2.18203785254429,93.532347515399
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,03,NA,NA,NA,12.1037814694449,7.56814588099119,16.6394170578986,2.2703787963109,63.976167586864
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,04,NA,NA,NA,14.9000676293982,9.84737675825486,19.9527585005415,2.54469010059051,93.7878193678151
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,05,NA,NA,NA,12.2388495001707,5.8387656544901,18.6389333458513,3.22335203325305,93.951781445314
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,06,NA,NA,NA,14.6504880289808,8.13231452552399,21.1686615324377,3.28274394573236,93.7699850704438
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,07,NA,NA,NA,10.9097297303709,5.67577065931578,16.143688801426,2.63584334759378,93.4109120939069
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,08,NA,NA,NA,14.5071644888426,8.97583487907421,20.038494098611,2.77924548645621,79.5737769809368
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,09,NA,NA,NA,11.1944013612837,6.32749588487144,16.061306837696,2.45096001714381,93.3133307461001
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,10,NA,NA,NA,12.7456135511401,7.79127069761247,17.6999564046678,2.49515144421765,93.7660251494552
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,11,NA,NA,NA,12.8007414692155,8.7623103674237,16.8391725710074,2.03386167957115,93.7310668110363
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_main,NA,NA,NA,12,NA,NA,NA,8.14946654203024,2.88220555588461,13.4167275281759,2.65265663774941,93.5246069007662
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,11.8263731494036,5.77277256109942,17.8799737377078,3.04815344463728,92.3380175508727
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,12.3797300578127,7.65349640020814,17.1059637154172,2.37922304890043,90.7159841473553
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,12.048380443842,7.04689434604206,17.0498665416419,2.49233378045343,51.8899511692141
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,14.8446666037953,9.45638290419623,20.2329503033943,2.71355069218752,93.3816036814802
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,12.1834484745678,5.49620098574911,18.8706959633865,3.36789648789926,93.7740518070146
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,14.5950870033779,7.74391371862785,21.446260288128,3.45025391336669,93.3589948819833
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,10.854328704768,5.28047741476497,16.428179994771,2.80625955844742,91.5346206595445
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,14.4517634632397,8.62582818247317,20.2776987440062,2.93129374637157,87.3492532044856
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,11.1390003356808,5.71357016520451,16.564430506157102,2.73158453219798,91.6608012241325
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,12.6902125255372,7.2967274212301,18.0836976298443,2.7163942491101,93.9724083164176
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,11,NA,NA,NA,12.7453404436126,8.26442547935807,17.2262554078672,2.2566732179712,93.6195594628179
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekday,NA,12,NA,NA,NA,8.09406551642733,2.20423994753492,13.9838910853197,2.96579592228564,92.5912708094886
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,adjusted,emm_month_x_weekend,NA,Weekend,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Working,Weekday,NA,NA,NA,NA,NA,24.8607572802329,19.1585238556512,30.5629907048146,2.87161618866817,93.2820383499376
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,23.7454925736362,17.1450967115344,30.3458884357381,3.32191276162077,89.1706390377421
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,26.0766719127056,20.2523281665232,31.901015658888,2.93371874223654,94.7783664794376
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Not Working,Weekday,NA,NA,NA,NA,NA,23.775547071213,20.4945489094844,27.0565452329417,1.65263087507236,94.7513381357912
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Working,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Not Working,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Working,NA,NA,NA,NA,NA,NA,24.2526144784007,20.4448069615916,28.0604219952097,1.91457199248507,83.2946011539167
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Student,NA,NA,NA,NA,NA,NA,24.1131914962344,19.2693714873874,28.9570115050813,2.43736836481267,87.9185282163662
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Retired,NA,NA,NA,NA,NA,NA,24.323313997909,19.7688961866982,28.8777318091199,2.29392616194771,94.3597267590548
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Not Working,NA,NA,NA,NA,NA,NA,23.7957655135277,21.4802243469779,26.1113066800775,1.16637148115675,94.9967774772029
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_weekend_main,NA,Weekday,NA,NA,NA,NA,NA,24.2794478152341,21.221810072291,27.3370855581771,1.54008696590174,94.5718363596746
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_weekend_main,NA,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,Female,NA,NA,NA,NA,24.2445185899811,-105.476317087828,153.96535426779,3.38772036212847,0.691511225253195
