outcome,batch,category,term,estimate,conf.low,conf.high
onset,dst,Demographics,Male,1.503547936941129,1.4494787594003329,1.5576171144819255
onset,dst,Demographics,Female,1.3322615094506614,1.2813645134251763,1.3831585054761464
onset,dst,Demographics,Pmi: Skip,1.3966129230770177,1.1567967018260088,1.6364291443280266
onset,dst,Demographics,I Prefer Not To Answer,2.339412233156966,1.5121655367500606,3.166658929563871
onset,dst,Demographics,Sex At Birth: Sex At Birth None Of These,2.414112389985049,1.3262252075565684,3.5019995724135295
onset,dst,Demographics,No Matching Concept,1.6218440017821216,-0.07840783049745781,3.322095834061701
onset,dst,Demographics,Intersex,1.734758331701043,0.9189895480887434,2.550527115313342
duration,base,Employment,Employed For Wages,7.695909918571288,7.650793845387337,7.741025991755239
duration,base,Employment,Homemaker,8.397652021865037,8.182977269782578,8.612326773947496
duration,base,Employment,Out Of Work Less Than One,8.420653374574526,8.166110562441498,8.675196186707554
duration,base,Employment,Out Of Work One Or More,10.126291704143076,9.83347999205236,10.419103416233794
duration,base,Employment,Retired,4.102667714674816,3.878463102297448,4.326872327052184
duration,base,Employment,Self Employed,7.724075274268935,7.5818891551768655,7.866261393361004
duration,base,Employment,Student,7.414030623805869,7.316104860558732,7.511956387053005
duration,base,Employment,Unable To Work,8.810215505157425,8.61739394493671,9.00303706537814
duration,dst,Employment,Employed For Wages,7.698959875613965,7.653803876488183,7.744115874739746
duration,dst,Employment,Homemaker,8.402130750564982,8.187440925515386,8.616820575614579
duration,dst,Employment,Out Of Work Less Than One,8.425498194671249,8.17094279131176,8.680053598030735
duration,dst,Employment,Out Of Work One Or More,10.1283069312407,9.835501203662876,10.421112658818526
duration,dst,Employment,Retired,4.106987151383186,3.8827687257751853,4.331205576991186
duration,dst,Employment,Self Employed,7.726733023617208,7.584540578576596,7.868925468657819
duration,dst,Employment,Student,7.417291703716492,7.319347768290582,7.5152356391424036
duration,dst,Employment,Unable To Work,8.803790928633834,8.61091574130449,8.996666115963176
midpoint,base,Employment,Employed For Wages,5.561145198743566,5.514537263913361,5.607753133573771
midpoint,base,Employment,Homemaker,4.112711766749709,3.895476006791304,4.329947526708114
midpoint,base,Employment,Out Of Work Less Than One,7.52378315572619,7.2601217978273045,7.787444513625076
midpoint,base,Employment,Out Of Work One Or More,2.566619236856349,2.2574303135341145,2.8758081601785834
midpoint,base,Employment,Retired,-0.7991216497846478,-1.0167229332269183,-0.5815203663423774
midpoint,base,Employment,Self Employed,4.781299185554644,4.635458829363529,4.927139541745758
midpoint,base,Employment,Student,5.861939318855509,5.759336322580758,5.9645423151302595
midpoint,base,Employment,Unable To Work,3.462289527094378,3.264319751277868,3.660259302910888
midpoint,dst,Employment,Employed For Wages,5.573587246332164,5.526903373669153,5.620271118995175
midpoint,dst,Employment,Homemaker,4.130976598650252,3.9137267126708566,4.348226484629645
midpoint,dst,Employment,Out Of Work Less Than One,7.541627409479366,7.277972490015377,7.805282328943356
midpoint,dst,Employment,Out Of Work One Or More,2.5811620341104087,2.272002859153386,2.890321209067432
midpoint,dst,Employment,Retired,-0.783049307997933,-1.0006720335791643,-0.5654265824167017
midpoint,dst,Employment,Self Employed,4.79212250845427,4.646281705615538,4.937963311293003
midpoint,dst,Employment,Student,5.875868846594375,5.773239511035092,5.978498182153658
midpoint,dst,Employment,Unable To Work,3.476441369389009,3.2784260376297816,3.674456701148237
offset,base,Employment,Employed For Wages,8.919240185644284,8.865667926561002,8.972812444727566
offset,base,Employment,Homemaker,7.985627658581514,7.732638889829531,8.238616427333497
offset,base,Employment,Out Of Work Less Than One,10.18115103392995,9.876901031037985,10.485401036821916
offset,base,Employment,Out Of Work One Or More,8.057068646827254,7.7019176352907905,8.41221965836372
offset,base,Employment,Retired,0.07398825547381294,-0.18467777799009352,0.3326542889377194
offset,base,Employment,Self Employed,8.294479194669275,8.125432664145759,8.46352572519279
offset,base,Employment,Student,9.288690473032673,9.171585463699902,9.405795482365445
offset,base,Employment,Unable To Work,7.347481401150514,7.117393720580325,7.577569081720703
offset,dst,Employment,Employed For Wages,8.937384500436,8.883757983839583,8.991011017032417
offset,dst,Employment,Homemaker,8.012185151274778,7.759222063468741,8.265148239080816
offset,dst,Employment,Out Of Work Less Than One,10.208048545101658,9.903864470697952,10.512232619505365
offset,dst,Employment,Out Of Work One Or More,8.074628145833241,7.7196000023131095,8.429656289353371
offset,dst,Employment,Retired,0.09850429714475573,-0.16016491229081237,0.3571735065803238
offset,dst,Employment,Self Employed,8.310442555650503,8.141426717315563,8.479458393985443
offset,dst,Employment,Student,9.30819689001073,9.191095732618422,9.42529804740304
offset,dst,Employment,Unable To Work,7.364219763120244,7.1341242886398355,7.594315237600652
onset,base,Employment,Employed For Wages,1.6412834540496828,1.5899783296866103,1.6925885784127552
onset,base,Employment,Homemaker,-0.3563256014056639,-0.5974037982727394,-0.11524740453858837
onset,base,Employment,Out Of Work Less Than One,3.034909081932161,2.743726340849605,3.3260918230147167
onset,base,Employment,Out Of Work One Or More,-2.4793980608995465,-2.820277280125172,-2.138518841673921
onset,base,Employment,Retired,-3.050588093251289,-3.294970589262859,-2.8062055972397193
onset,base,Employment,Self Employed,1.0106529762534278,0.8491862309997187,1.1721197215071368
onset,base,Employment,Student,2.0147336586636957,1.9022545080047935,2.1272128093225975
onset,base,Employment,Unable To Work,-0.982015311544071,-1.201673969760522,-0.7623566533276199
onset,dst,Employment,Employed For Wages,1.6540070796105932,1.602631859823874,1.7053822993973125
onset,dst,Employment,Homemaker,-0.3373922894733354,-0.5784810069635239,-0.0963035719831469
onset,dst,Employment,Out Of Work Less Than One,3.0535184222474308,2.762345970396244,3.3446908740986174
onset,dst,Employment,Out Of Work One Or More,-2.4654282514049264,-2.8062662310200572,-2.124590271789796
onset,dst,Employment,Retired,-3.033863369217503,-3.278264834114151,-2.789461904320855
onset,dst,Employment,Self Employed,1.0215903865936202,0.8601259984174254,1.1830547747698148
onset,dst,Employment,Student,2.02869972519082,1.916197835830248,2.1412016145513917
onset,dst,Employment,Unable To Work,-0.9612972101375445,-1.1810008244795038,-0.741593595795585
duration,base,Weekend Effect,Weekday,7.677473882350136,7.6328377662593345,7.722109998440938
duration,base,Weekend Effect,Weekend,7.71434595479244,7.668749922104266,7.759941987480615
duration,dst,Weekend Effect,Weekday,7.680333099878904,7.635656712798847,7.725009486958962
duration,dst,Weekend Effect,Weekend,7.717586651349024,7.671951030804831,7.763222271893218
midpoint,base,Weekend Effect,Weekday,5.230208368503039,5.184013882226839,5.2764028547792385
midpoint,base,Weekend Effect,Weekend,5.892082028984094,5.845060645599883,5.939103412368304
midpoint,dst,Weekend Effect,Weekday,5.242070912313073,5.195799889268648,5.288341935357498
midpoint,dst,Weekend Effect,Weekend,5.905103580351254,5.858006876804492,5.952200283898016
offset,base,Weekend Effect,Weekday,8.602833681514353,8.5497798423999,8.655887520628806
offset,base,Weekend Effect,Weekend,9.23564668977421,9.181556007196146,9.289737372352274
offset,dst,Weekend Effect,Weekday,8.620458044391333,8.567349495483008,8.673566593299658
offset,dst,Weekend Effect,Weekend,9.254310956480666,9.200166472346256,9.308455440615075
onset,base,Weekend Effect,Weekday,1.319855560926538,1.269029247145507,1.3706818747075693
onset,base,Weekend Effect,Weekend,1.962711347172828,1.9109274130692675,2.0144952812763885
onset,dst,Weekend Effect,Weekday,1.3322615094506614,1.2813645134251763,1.3831585054761464
onset,dst,Weekend Effect,Weekend,1.9757526497705251,1.923899206222572,2.0276060933184787
